wavenumber1,beta_sheet1,beta_turn,alpha_helix,beta_sheet,side_chain,wavenumber2,globulins
1619.599081,8.85482E-54,7.69714E-16,1.36124E-12,7.2058E-07,8.02794E-06,,
1619.912,2.36265E-53,9.9572E-16,1.81018E-12,8.3779E-07,7.74415E-06,,
1620.100988,4.26481E-53,1.16245E-15,2.14779E-12,9.16389E-07,7.56484E-06,,
1620.201369,5.83257E-53,1.26181E-15,2.35121E-12,9.60696E-07,7.46744E-06,,
1620.301751,7.97306E-53,1.36948E-15,2.57328E-12,1.00686E-06,7.36864E-06,,
1620.402132,1.08942E-52,1.48612E-15,2.81565E-12,1.05493E-06,7.26855E-06,,
1620.502514,1.48789E-52,1.61247E-15,3.0801E-12,1.10499E-06,7.16724E-06,,
1620.602895,2.03119E-52,1.74931E-15,3.36859E-12,1.15709E-06,7.06481E-06,,
1620.703276,2.77164E-52,1.89749E-15,3.68322E-12,1.2113E-06,6.96134E-06,,
1620.803658,3.78032E-52,2.05793E-15,4.02627E-12,1.26768E-06,6.85693E-06,,
1620.904039,5.15376E-52,2.23162E-15,4.40022E-12,1.32631E-06,6.75167E-06,,
1621.00442,7.02305E-52,2.41962E-15,4.80774E-12,1.38725E-06,6.64563E-06,,
1621.104802,9.56605E-52,2.62308E-15,5.25175E-12,1.45058E-06,6.53891E-06,,
1621.205183,1.3024E-51,2.84325E-15,5.7354E-12,1.51636E-06,6.4316E-06,,
1621.305565,1.7724E-51,3.08145E-15,6.26208E-12,1.58468E-06,6.32378E-06,,
1621.405946,2.41093E-51,3.33914E-15,6.83549E-12,1.65559E-06,6.21554E-06,,
1621.506327,3.27802E-51,3.61786E-15,7.45962E-12,1.72919E-06,6.10696E-06,,
1621.606709,4.45497E-51,3.91929E-15,8.13878E-12,1.80554E-06,5.99812E-06,,
1621.70709,6.05178E-51,4.24522E-15,8.87766E-12,1.88471E-06,5.88912E-06,,
1621.807471,8.21725E-51,4.59761E-15,9.6813E-12,1.9668E-06,5.78001E-06,,
1621.841,9.10027E-51,4.72156E-15,9.96508E-12,1.99488E-06,5.74356E-06,,
1621.907853,1.11526E-50,4.97853E-15,1.05552E-11,2.05188E-06,5.6709E-06,,
1622.008234,1.51297E-50,5.39024E-15,1.15051E-11,2.14002E-06,5.56184E-06,,
1622.108616,2.05158E-50,5.83517E-15,1.25376E-11,2.23131E-06,5.45293E-06,,
1622.208997,2.78069E-50,6.31593E-15,1.36595E-11,2.32582E-06,5.34424E-06,,
1622.309378,3.76723E-50,6.83532E-15,1.48781E-11,2.42365E-06,5.23583E-06,,
1622.40976,5.10149E-50,7.39636E-15,1.62016E-11,2.52486E-06,5.12778E-06,,
1622.510141,6.90521E-50,8.00231E-15,1.76387E-11,2.62955E-06,5.02016E-06,,
