,location,protein,mean_conc,sd2,,,,,,,,,,,,,,,,,,,,,total,,,,NIRS Crude Protein,,,,
71,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Flinsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Reichersberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Zinsenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
